Frequency,G_off/G_on
20000000000.0,(0.7359413112782756+0.587497563658031j)
20002000000.0,(0.7379777245863836+0.588847548648642j)
20004000000.0,(0.7400058566741232+0.5901687154806612j)
20006000000.0,(0.7420260104003152+0.5914615047389921j)
20008000000.0,(0.7440384749807162+0.5927263427291819j)
20010000000.0,(0.7460435266580722+0.5939636419896904j)
20012000000.0,(0.7480414293336015+0.5951738017835417j)
20014000000.0,(0.7500324351623955+0.5963572085702347j)
20016000000.0,(0.7520167851150412+0.5975142364587432j)
20018000000.0,(0.7539947095076166+0.5986452476424096j)
20020000000.0,(0.7559664285020481+0.5997505928165041j)
20022000000.0,(0.7579321525786887+0.6008306115791924j)
20024000000.0,(0.7598920829828464+0.6018856328166212j)
20026000000.0,(0.7618464121468644+0.6029159750728028j)
20028000000.0,(0.7637953240892601+0.6039219469049563j)
20030000000.0,(0.7657389947923151+0.6049038472249244j)
20032000000.0,(0.7676775925594199+0.605861965627274j)
20034000000.0,(0.7696112783533898+0.6067965827046478j)
20036000000.0,(0.7715402061168861+0.6077079703509156j)
20038000000.0,(0.7734645230760032+0.6085963920526571j)
20040000000.0,(0.775384370028013+0.6094621031694718j)
20042000000.0,(0.7772998816141863+0.6103053512035956j)
20044000000.0,(0.7792111865785685+0.6111263760592933j)
20046000000.0,(0.7811184080135051+0.6119254102924511j)
20048000000.0,(0.7830216635926872+0.6127026793507994j)
20050000000.0,(0.7849210657924222+0.613458401805164j)
20052000000.0,(0.7868167221017915+0.6141927895721275j)
20054000000.0,(0.7887087352223259+0.6149060481284663j)
20056000000.0,(0.7905972032577749+0.6155983767177154j)
20058000000.0,(0.7924822198945262+0.6162699685491958j)
20060000000.0,(0.794363874573181+0.6169210109898187j)
20062000000.0,(0.7962422526517783+0.6175516857489795j)
20064000000.0,(0.798117435561109+0.6181621690568265j)
20066000000.0,(0.7999895009525584+0.6187526318361857j)
20068000000.0,(0.8018585228388685+0.6193232398684116j)
20070000000.0,(0.8037245717281994+0.6198741539534126j)
20072000000.0,(0.8055877147518454+0.6204055300640965j)
20074000000.0,(0.8074480157859345+0.6209175194954739j)
20076000000.0,(0.8093055355674302+0.6214102690086339j)
20078000000.0,(0.8111603318047254+0.6218839209698119j)
20080000000.0,(0.8130124592831085+0.6223386134847487j)
20082000000.0,(0.8148619699653648+0.6227744805285367j)
20084000000.0,(0.8167089130877568+0.6231916520711411j)
20086000000.0,(0.8185533352516196+0.6235902541987743j)
20088000000.0,(0.820395280510784+0.6239704092312878j)
20090000000.0,(0.8222347904550454+0.6243322358357554j)
20092000000.0,(0.8240719042898603+0.6246758491363946j)
20094000000.0,(0.825906658912465+0.6250013608209812j)
20096000000.0,(0.8277390889845836+0.625308879243897j)
20098000000.0,(0.8295692270018942+0.6255985095259484j)
20100000000.0,(0.8313971033604058+0.6258703536510923j)
20102000000.0,(0.833222746419891+0.6261245105601834j)
20104000000.0,(0.8350461825645155+0.6263610762418759j)
20106000000.0,(0.836867436260795+0.6265801438207874j)
20108000000.0,(0.8386865301129992+0.6267818036430389j)
20110000000.0,(0.8405034849161277+0.626966143359274j)
20112000000.0,(0.8423183197065571+0.6271332480052632j)
20114000000.0,(0.8441310518104739+0.6272832000801852j)
20116000000.0,(0.8459416968901884+0.6274160796226855j)
20118000000.0,(0.8477502689884174+0.6275319642847933j)
20120000000.0,(0.8495567805706362+0.6276309294037917j)
20122000000.0,(0.8513612425655707+0.6277130480721181j)
20124000000.0,(0.8531636644039188+0.6277783912053725j)
20126000000.0,(0.8549640540553692+0.627827027608516j)
20128000000.0,(0.8567624180639897+0.6278590240403252j)
20130000000.0,(0.8585587615820583+0.627874445276178j)
20132000000.0,(0.8603530884023892+0.6278733541692332j)
20134000000.0,(0.8621454009892242+0.627855811710072j)
20136000000.0,(0.863935700507739+0.6278218770848607j)
20138000000.0,(0.8657239868522236+0.6277716077320952j)
20140000000.0,(0.8675102586729806+0.6277050593979834j)
20142000000.0,(0.8692945134019976+0.6276222861905185j)
20144000000.0,(0.8710767472774325+0.627523340632301j)
20146000000.0,(0.8728569553669556+0.6274082737121526j)
20148000000.0,(0.8746351315899945+0.6272771349355754j)
20150000000.0,(0.8764112687389102+0.6271299723740996j)
20152000000.0,(0.8781853584991474+0.6269668327135652j)
20154000000.0,(0.8799573914683941+0.6267877613013819j)
