Frequency,G_off/G_on
20000000000.0,(0.9038387636031773+0.38914162470331315j)
20002000000.0,(0.9041358001145339+0.3890626302712436j)
20004000000.0,(0.9044225622294167+0.38898210587198667j)
20006000000.0,(0.9046992444400797+0.3889002687437571j)
20008000000.0,(0.9049660335214353+0.3888173294217153j)
20010000000.0,(0.9052231090075912+0.3887334922432659j)
20012000000.0,(0.9054706436408838+0.3886489558158943j)
20014000000.0,(0.9057088037954479+0.38856391345073155j)
20016000000.0,(0.905937749877178+0.38847855356472377j)
20018000000.0,(0.9061576367018075+0.388393060054014j)
20020000000.0,(0.9063686138526941+0.38830761264088814j)
20022000000.0,(0.9065708260197821+0.3882223871964272j)
20024000000.0,(0.9067644133210943+0.3881375560407953j)
20026000000.0,(0.9069495116080174+0.38805328822292573j)
20028000000.0,(0.9071262527555308+0.387969749781198j)
20030000000.0,(0.9072947649384699+0.38788710398656073j)
20032000000.0,(0.9074551728948095+0.3878055115694196j)
20034000000.0,(0.907607598176898+0.38772513093148986j)
20036000000.0,(0.9077521593915013+0.38764611834371343j)
20038000000.0,(0.9078889724294521+0.3875686281312355j)
20040000000.0,(0.9080181506856468+0.3874928128463518j)
20042000000.0,(0.9081398052700778+0.38741882343025913j)
20044000000.0,(0.9082540452105456+0.38734680936436466j)
20046000000.0,(0.9083609776476418+0.38727691881184806j)
20048000000.0,(0.9084607080225677+0.3872092987501106j)
20050000000.0,(0.9085533402582959+0.38714409509468123j)
20052000000.0,(0.9086389769345741+0.38708145281512096j)
20054000000.0,(0.9087177194572025+0.38702151604339097j)
20056000000.0,(0.9087896682220253+0.38696442817513593j)
20058000000.0,(0.9088549227740198+0.3869103319642817j)
20060000000.0,(0.9089135819618527+0.386859369611308j)
20062000000.0,(0.9089657440882509+0.38681168284553935j)
20064000000.0,(0.9090115070565046+0.3867674130017476j)
20066000000.0,(0.9090509685134117+0.38672670109135415j)
20068000000.0,(0.9090842259889347+0.38668968786847163j)
20070000000.0,(0.9091113770328464+0.3866565138910215j)
20072000000.0,(0.9091325193486064+0.38662731957713065j)
20074000000.0,(0.9091477509246972+0.3866022452569912j)
20076000000.0,(0.9091571701636468+0.38658143122035354j)
20078000000.0,(0.9091608760089311+0.3865650177598024j)
20080000000.0,(0.909158968069958+0.3865531452099476j)
20082000000.0,(0.9091515467452984+0.38654595398265135j)
20084000000.0,(0.9091387133443469+0.3865435845983947j)
20086000000.0,(0.9091205702075549+0.38654617771387434j)
20088000000.0,(0.9090972208253922+0.3865538741459125j)
20090000000.0,(0.9090687699561684+0.38656681489174155j)
20092000000.0,(0.9090353237428414+0.38658514114572706j)
20094000000.0,(0.9089969898289366+0.3866089943125686j)
20096000000.0,(0.9089538774736788+0.38663851601702054j)
20098000000.0,(0.9089060976664473+0.3866738481101582j)
20100000000.0,(0.9088537632406414+0.38671513267220603j)
20102000000.0,(0.9087969889870469+0.3867625120119422j)
20104000000.0,(0.9087358917667815+0.3868161286626802j)
20106000000.0,(0.9086705906238957+0.38687612537482335j)
20108000000.0,(0.9086012068976815+0.38694264510497556j)
20110000000.0,(0.9085278643347694+0.38701583100160003j)
20112000000.0,(0.9084506892010449+0.38709582638718965j)
20114000000.0,(0.9083698103934401+0.38718277473692325j)
20116000000.0,(0.9082853595516411+0.3872768196537693j)
