Frequency,G_off/G_on
20000000000.0,(0.9748342819845606+0.32803505109172104j)
20002000000.0,(0.9744773996639727+0.32840677922832745j)
20004000000.0,(0.9741318205306841+0.32879801826396393j)
20006000000.0,(0.9737976525594649+0.329208431638845j)
20008000000.0,(0.9734750074804279+0.3296377012341579j)
20010000000.0,(0.9731640009152314+0.33008552622723397j)
20012000000.0,(0.9728647525035378+0.33055162202522903j)
20014000000.0,(0.9725773860212547+0.33103571927065806j)
20016000000.0,(0.972302029491894+0.33153756291274633j)
20018000000.0,(0.9720388152922184+0.3320569113390964j)
20020000000.0,(0.9717878802532074+0.33259353556266225j)
20022000000.0,(0.9715493657572473+0.33314721845945794j)
20024000000.0,(0.9713234178323368+0.3337177540528252j)
20026000000.0,(0.9711101872440154+0.3343049468404396j)
20028000000.0,(0.9709098295856238+0.3349086111605536j)
20030000000.0,(0.9707225053674562+0.3355285705942696j)
20032000000.0,(0.9705483801052686+0.3361646574008885j)
20034000000.0,(0.970387624408591+0.33681671198362445j)
20036000000.0,(0.9702404140692037+0.3374845823831828j)
20038000000.0,(0.9701069301501271+0.33816812379689837j)
20040000000.0,(0.969987359075417+0.3388671981212967j)
20042000000.0,(0.9698818927210296+0.3395816735161086j)
20044000000.0,(0.9697907285069999+0.3403114239879063j)
20046000000.0,(0.9697140694911358+0.34105632899166155j)
20048000000.0,(0.9696521244644196+0.3418162730486408j)
20050000000.0,(0.9696051080482838+0.3425911453791661j)
20052000000.0,(0.9695732407939142+0.3433808395488593j)
20054000000.0,(0.9695567492837021+0.3441852531270793j)
20056000000.0,(0.9695558662349812+0.3450042873563428j)
20058000000.0,(0.9695708306061412+0.34583784683158486j)
20060000000.0,(0.9696018877052166+0.3466858391881894j)
20062000000.0,(0.9696492893010373+0.34754817479776967j)
20064000000.0,(0.969713293737008+0.3484247664707396j)
20066000000.0,(0.9697941660475864+0.3493155291647573j)
20068000000.0,(0.9698921780775064+0.3502203796981727j)
20070000000.0,(0.9700076086038072+0.3511392364676413j)
20072000000.0,(0.9701407434606931+0.3520720191691106j)
20074000000.0,(0.970291875667265+0.3530186485214046j)
20076000000.0,(0.9704613055581428+0.3539790459916705j)
20078000000.0,(0.9706493409170004+0.35495313352196584j)
20080000000.0,(0.9708562971130142+0.3559408332562932j)
20082000000.0,(0.9710824972402385+0.3569420672673974j)
20084000000.0,(0.9713282722598906+0.35795675728267506j)
20086000000.0,(0.9715939611455424+0.3589848244085297j)
20088000000.0,(0.971879911031185+0.3600261888525449j)
20090000000.0,(0.9721864773621481+0.3610807696428418j)
20092000000.0,(0.9725140240488281+0.36214848434399494j)
20094000000.0,(0.9728629236231746+0.3632292487688864j)
20096000000.0,(0.9732335573978818+0.364322976685885j)
20098000000.0,(0.9736263156282102+0.36542957952073113j)
20100000000.0,(0.974041597676362+0.36654896605251286j)
20102000000.0,(0.9744798121783126+0.36768104210311253j)
20104000000.0,(0.974941377212994+0.36882571021950944j)
20106000000.0,(0.9754267204737123+0.3699828693482997j)
20108000000.0,(0.975936279441657+0.37115241450181286j)
